0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Operation Temperature,0ºC～45ºC,0ºC～45ºC,0ºC～45ºC,0ºC～45ºC,0ºC～45ºC,0ºC～45ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～45ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～40ºC,0ºC～45ºC,0ºC～45ºC
Typical Power Consumption,max. 3000W,max. 1300W,max. 550W,max. 760W,550W,550W,310W,227W,max. 550W,max. 400W,400W,500W,400W,360W,max. 323W,max. 356W,282W,max. 384W,282W,150W,max. 1500W,150W,max. 800W
ONIE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cumulus Linux,Future Release,X,Yes,Yes,X,Yes,Yes,Yes,Yes,Yes,X,X,X,X,X,X,Yes,Yes,Yes,Yes,Yes,X,X
Big Monitor Fabric,X,X,X,X,X,Yes,Yes,Yes,X,Yes,X,X,X,X,X,X,Yes,Yes,Yes,X,X,X,X
Big Cloud Fabric,X,X,X,X,X,Yes,Yes,Yes,X,X,X,X,X,X,X,X,Yes,Yes,Yes,X,X,X,X
Open Network Linux (ONL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,X,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,X,X
PicOS,X,X,X,Yes,X,Yes,Yes,Yes,X,Yes,X,X,X,X,X,X,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IPInfusion OcNOS,X,X,Yes,Yes,Yes,Yes,X,X,Future Release,X,Yes,Yes,Yes,Yes,X,X,Yes,X,X,Yes,X,X,X
Pluribus,X,X,X,X,Yes,Yes,X,Yes,X,Yes,X,X,X,X,X,X,X,Yes,Yes,X,X,X,X
SnapRoute,X,X,X,Yes,X,Yes,Yes,X,X,Yes,X,X,X,X,X,X,Yes,X,Yes,X,X,X,X
Netscout,X,X,X,X,X,Yes,X,X,X,X,X,X,X,X,X,X,Yes,X,X,X,X,X,X
SONiC,X,X,X,Yes,X,Yes,X,X,X,X,X,X,X,X,X,X,X,X,Yes,X,X,X,X
IXIA Vision EdgeOS,X,X,X,X,X,Yes,X,X,X,X,X,X,X,X,X,X,Yes,X,X,X,X,X,X
Cisco-ISO-XR,X,X,X,Yes,X,X,X,X,X,X,Yes,X,X,X,X,X,X,X,X,X,X,X,X
PoE  Standard,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,802.3af / at,X,802.3af / at
Power Budget,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"1,500 W",X,800W
Ultra PoE ( 60 W ),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8 Ports,X,8 Ports
OCP Status,X,X,X,X,X,Accepted,X,Accepted,X,X,X,X,X,Accepted,X,X,X,X,First Accepted,Accepted,Accepted,Accepted,Accepted
